County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Smith,Texas,209714,2449,830551842.5
Crockett,Texas,3719,7292,6467113987
Crane,Texas,4375,2054,3759997432
Freestone,Texas,19816,2315,2109474228
Leon,Texas,16801,2802,2242198719
Robertson,Texas,16622,2243,2784712740
Comal,Texas,108472,1498,547316949.5
Davis,Utah,306479,1654,264053730.7
Box Elder,Utah,49975,17432,13990705486
Garfield,Utah,5172,13514,1202953175
Millard,Utah,12503,17702,18049103061
Rich,Utah,2264,2788,918061926.8
Daggett,Utah,1059,1887,47633695.66
Grand,Utah,9225,9557,3145225903
Washington,Utah,138115,6269,684843084.6
San Juan,Utah,14746,20518,5689878188
Tooele,Utah,58218,18889,23352435067
Kane,Utah,7125,10635,506647783.1
Sanpete,Utah,27822,4159,982617387.4
Piute,Utah,1556,1986,289833504.2
Salt Lake,Utah,1029655,2086,445709404.8
Essex,Vermont,6306,1748,56770751.22
Caledonia,Vermont,31227,1704,4325162.14
Grand Isle,Vermont,6970,509,132369149.1
Chittenden,Vermont,156545,1607,129896105.1
Lamoille,Vermont,24475,1200,17256677.44
Windsor,Vermont,56670,2537,635582.98
Orange,Vermont,28936,1794,13495271.06
Rutland,Vermont,61642,2458,48420230.22
Washington,Vermont,59534,1802,4716779.54
Williamsburg,Virginia,14068,25,12250055.92
Northampton,Virginia,12389,550,541990231.2
New Kent,Virginia,18429,545,341720526
King and Queen,Virginia,6945,827,818867296.8
Alleghany,Virginia,16250,1165,2575649.54
Lynchburg,Virginia,75568,132,0
Roanoke City,Virginia,97032,112,3086448.28
Caroline,Virginia,28545,1374,1126319074
Fredericksburg,Virginia,24286,28,0
Suffolk,Virginia,84585,1064,1074481910
Hampton,Virginia,137436,139,0
Charlotte,Virginia,12586,1233,601464891.3
Carroll,Virginia,30042,1241,1808423.86
Dinwiddie,Virginia,28001,1314,1270696786
Henrico,Virginia,306935,624,309422442.6
King William,Virginia,15935,712,619505017.1
Amelia,Virginia,12690,954,603922453.8
York,Virginia,65464,281,129085909.3
King George,Virginia,23584,470,246131249.7
Surry,Virginia,7058,731,808671338.1
Appomattox,Virginia,14973,886,168929902.6
Virginia Beach,Virginia,437994,670,264083565.6
Louisa,Virginia,33153,1322,787921539
Scott,Virginia,23177,1394,9365310.02
Alexandria,Virginia,139966,41,147812.58
Buchanan,Virginia,24098,1299,0
Hanover,Virginia,99863,1230,938261696.5
Shenandoah,Virginia,41993,1327,178093609.3
Fairfax,Virginia,1081726,1050,45843836.12
Richmond,Virginia,9254,488,394127375.3
Sussex,Virginia,12087,1291,1621097708
James City,Virginia,67009,380,172757793.3
Pacific,Washington,20920,2423,73544040.92
Thurston,Washington,252264,1908,490491939.4
Lewis,Washington,75455,6334,783960137.2
Clark,Washington,425363,1667,217875089.2
Asotin,Washington,21623,1669,131590796.5
Chelan,Washington,72453,7749,27003494
Jefferson,Washington,29872,4706,207363898.3
San Juan,Washington,15769,454,6795845.58
Adams,Washington,18728,4999,3682332291
Cowlitz,Washington,102410,2968,106381710.4
Grant,Washington,89120,7230,5783303894
Pierce,Washington,795225,4372,686594716.4
Kittitas,Washington,40915,6048,635184751.6
Ferry,Washington,7551,5866,60525075.74
Skagit,Washington,116901,4554,636801786.3
Whitman,Washington,44776,5640,427136527.4
Ritchie,West Virginia,10449,1176,0
Webster,West Virginia,9154,1447,0
Wetzel,West Virginia,16583,934,0
Boone,West Virginia,24629,1315,0
Hampshire,West Virginia,23964,1670,23773992.84
Fayette,West Virginia,46039,1732,2870463.5
Roane,West Virginia,14926,1250,0
Sheboygan,Wisconsin,115507,1336,1125787603
Racine,Wisconsin,195408,875,905690484.4
Waupaca,Wisconsin,52410,1983,1706183941
La Crosse,Wisconsin,114638,1242,231482200.2
Jackson,Wisconsin,20449,2591,1679073283
Pierce,Wisconsin,41019,1531,545672426.7
Walker,Alabama,67023,2084,547088196.7
Cherokee,Alabama,25989,1549,939780665
Cleburne,Alabama,14972,1451,181495574.6
Lauderdale,Alabama,92709,1862,1345933184
Calhoun,Alabama,118572,1591,621466595.6
Etowah,Alabama,104430,1426,725789207.4
Jackson,Alabama,53227,2925,1336440731
Madison,Alabama,334811,2104,1540148731
Morgan,Alabama,119490,1550,1001289403
Perry,Alabama,10591,1863,1089491397
Washington,Alabama,17581,2820,2739975318
Natrona,Wyoming,75450,13936,6701338764
Hot Springs,Wyoming,4812,5180,421944499.4
Johnson,Wyoming,8569,10767,1750342261
Fremont,Wyoming,40123,24054,9291413162
Sheridan,Wyoming,29116,6589,356301290.1
Trinity,California,13786,8297,19300650.7
Logan,Arkansas,22353,1886,805307887.6
Amador,California,38091,1569,245390725.1
Plumas,California,20007,6745,963735123.3
Calaveras,California,45578,2685,179849400.6
Glenn,California,28122,3434,2533681578
El Dorado,California,181058,4624,58167154.76
Orange,California,3010232,2061,32684702.82
Placer,California,348432,3886,974817102.4
Shasta,California,177223,9990,2307824399
Riverside,California,2189641,18944,8720314881
Sonoma,California,483878,4141,764680493.8
San Bernardino,California,2035210,52105,28613054881
Las Animas,Colorado,15507,12326,11440558738
Delta,Colorado,30952,2968,562697988.6
Lincoln,Colorado,5467,6691,11925551790
Eagle,Colorado,52197,4372,31079697.24
Elbert,Colorado,23086,4802,4416134681
Montezuma,Colorado,25535,5289,1556265247
Montrose,Colorado,41276,5816,1093549800
San Miguel,Colorado,7359,3338,876352646.2
Rio Blanco,Colorado,6666,8313,276827386.8
Denver,Colorado,600158,403,176386055.7
Weld,Colorado,252825,10411,17784898348
Upson,Georgia,27153,845,324465727.2
Baldwin,Georgia,45720,694,288600553.1
Muscogee,Georgia,189885,575,178655918.5
Bibb,Georgia,155547,662,221871609.2
Wilkinson,Georgia,9563,1171,401177164.2
Candler,Georgia,10998,645,796883039.7
Emanuel,Georgia,22598,1787,2199411279
Pike,Georgia,17869,568,521881564.6
Hancock,Georgia,9429,1239,674663756
Butts,Georgia,23655,491,238400407.1
Crowley,Colorado,5823,2074,4109115249
Kent,Delaware,162310,1566,1859948223
Bastrop,Texas,74171,2305,2536898535
Osceola,Florida,268685,3897,2799587007
Calhoun,Texas,21381,1662,1281227300
Chambers,Texas,35096,1634,1474428623
Fannin,Texas,33915,2318,3379187657
Liberty,Florida,8365,2185,1423335558
Okaloosa,Florida,180822,2435,2027868797
Fayette,Georgia,106567,517,215111878.8
Charlton,Georgia,12171,2019,1532797002
Echols,Georgia,4034,1093,1092506647
Atkinson,Georgia,8375,892,1046348940
Berrien,Georgia,19286,1185,1452353330
Cook,Georgia,17212,603,714360801.5
Lanier,Georgia,10078,520,555047596.6
Colquitt,Georgia,45498,1442,1860315700
Crisp,Georgia,23439,729,883604406.6
Dooly,Georgia,14918,1028,1296755073
Dougherty,Georgia,94565,867,896994635
Lee,Georgia,28298,938,1145151246
Mitchell,Georgia,23498,1330,1819424812
Sumter,Georgia,32819,1274,1384664075
Worth,Georgia,21679,1488,1978987353
Ben Hill,Georgia,17634,658,720202345.2
Coffee,Georgia,42356,1563,1937640197
Dodge,Georgia,21796,1303,1444680621
Wayne,Georgia,30099,1684,1659780879
Irwin,Georgia,9538,939,1192166476
Turner,Georgia,8930,751,890346305.1
Tazewell,Virginia,45078,1348,29952576.84
Nelson,Virginia,15020,1214,47014133.76
Maverick,Texas,54258,3370,5204098648
Refugio,Texas,7383,2092,3050193669
Brewster,Texas,9232,16050,8373602196
Newton,Texas,14445,2464,1508906913
Mineral,West Virginia,28212,849,17870425.82
Wyoming,West Virginia,23796,1310,221105.02
Manitowoc,Wisconsin,81442,1541,1466296839
Monroe,Wisconsin,44673,2355,919041710.5
Walworth,Wisconsin,102228,1490,1470381331
Milwaukee,Wisconsin,947735,624,101893414.3
Montgomery,Alabama,229363,2081,1948265067
Imperial,California,174528,11678,14054236671
Pulaski,Arkansas,382748,2092,1159760112
Forsyth,Georgia,175511,641,78793266
Northwest Arctic,Alaska,7523,94106,7408604627
Tehama,California,63463,7633,2758365472
Maricopa,Arizona,3817117,23891,27708049452
Alameda,California,1510271,1939,105291193.1
Kiowa,Colorado,1398,4631,9473521669
Pinellas,Florida,916542,770,40892962.26
Bradford,Florida,28520,771,909777464.9
Madison,Florida,19224,1852,1826294160
Flagler,Florida,95696,1328,1111503906
Chattahoochee,Georgia,11267,656,208828511
Holmes,Florida,19927,1269,1249966311
Butte,Idaho,2891,5797,4677035736
La Plata,Colorado,51334,4411,928493485.6
Sarasota,Florida,379448,1515,411867192.3
Marion,Georgia,8742,951,379040115.2
Meriwether,Georgia,21992,1311,957748531.8
Union,Indiana,7516,429,482439094.3
Cassia,Idaho,22952,6660,3951224107
Bannock,Idaho,82839,2976,493750190.9
Lake,Illinois,703462,1218,354732763
Vanderburgh,Indiana,179703,617,464126618.6
Laurel,Kentucky,58849,1153,133290307.6
Iberia,Louisiana,73240,1642,748968035.6
St. John the Baptist,Louisiana,45924,904,116011626.7
Jackson,Louisiana,16274,1494,1151116142
Sagadahoc,Maine,35293,664,133295439.2
Franklin,Maine,30768,4518,194544510.3
Talbot,Maryland,37782,667,751595327.8
Amite,Mississippi,13131,1890,1660409461
Silver Bow,Montana,34200,1865,112590130.7
Big Horn,Montana,12865,12987,2169140274
Cape May,New Jersey,97265,717,374077993.7
Seneca,New York,35251,1007,681117855.7
Schoharie,New York,32749,1620,50653713.78
St. Lawrence,New York,111944,7155,3165677450
Sampson,North Carolina,63431,2485,3113412327
Lincoln,Oklahoma,34273,2507,1825801193
Le Flore,Oklahoma,50384,4173,2373680434
Marlboro,South Carolina,28933,1260,1221296678
Lamar,Texas,49793,2425,3584990948
Hart,Kentucky,18199,1083,377633508.2
Otter Tail,Minnesota,57303,5787,5318168127
Blue Earth,Minnesota,64013,1976,2340389985
Hall,Georgia,179684,1112,54334482.58
Floyd,Kentucky,39451,1027,71803.84
Cascade,Montana,81327,7020,2901461378
Teton,Wyoming,21294,10917,197276358.9
East Feliciana,Louisiana,20267,1177,849051264.1
Evangeline,Louisiana,33984,1759,1760165525
Jefferson,Louisiana,432552,1286,20222512.76
Pointe Coupee,Louisiana,22802,1529,1217729931
McDowell,North Carolina,44996,1149,16230022.96
Iron,Michigan,11817,3121,1561086733
Phillips,Colorado,4442,1777,3597186531
Saguache,Colorado,6108,8185,4073015196
Washington,Colorado,4814,6537,12008704309
Lake,Colorado,7310,991,44134289.14
Park,Colorado,16206,5723,1327226664
Huerfano,Colorado,6711,4126,1840609330
Citrus,Florida,141236,1604,816577798.2
Gilchrist,Florida,16939,920,1272628009
Hernando,Florida,172778,1268,652305704.8
Levy,Florida,40801,2925,3387846684
Newton,Georgia,99958,724,329155391.5
Spalding,Georgia,64073,517,310998810.8
Crawford,Georgia,12630,849,455949760.1
McDuffie,Georgia,21875,690,446643540.7
Bulloch,Georgia,70217,1783,1940737568
Burke,Georgia,23316,2161,2348112730
Effingham,Georgia,52250,1260,1270744703
Gwinnett,Georgia,805321,1130,98960530.16
Dawson,Georgia,22330,556,12998295
Baraga,Michigan,8860,2386,1049657643
Huron,Michigan,33118,2203,2569489947
Macomb,Michigan,840978,1250,681697641.4
Iosco,Michigan,25887,1462,1188059208
St. Clair,Michigan,163040,1879,1929647991
Sanilac,Michigan,43114,2497,3044781629
Tunica,Mississippi,10778,1237,1392883316
Coahoma,Mississippi,26151,1517,1674738188
Franklin,Mississippi,8118,1458,720694360.7
Jefferson,Mississippi,7726,1363,726555602.8
Warren,Mississippi,48773,1599,558649566.6
Wilkinson,Mississippi,9878,1785,681890929.3
Copiah,Mississippi,29449,2042,1381135453
Hinds,Mississippi,245285,2253,1948605980
Unicoi,Tennessee,18313,482,971498.52
Osage,Missouri,13878,1568,166878330.8
Dent,Missouri,15657,1945,459019796.9
Douglas,Missouri,13684,2136,38572050.8
Laclede,Missouri,35571,1979,614333096.7
Phelps,Missouri,45156,1759,276515527.4
Texas,Missouri,26008,3048,480364052.9
Boone,Missouri,162642,1789,1402946483
Hill,Texas,35089,2547,3382409795
Clay,Missouri,221939,1066,519762348
Jackson,Missouri,674158,1588,578063507.6
Vernon,Missouri,21159,2166,2454233831
Cass,Missouri,99478,1813,1925350281
Pettis,Missouri,42201,1770,1978479623
Coosa,Alabama,11539,1731,431835715
Juneau,Alaska,31275,7176,127846136.7
Haines,Alaska,2508,6142,138385543.6
Wade Hampton,Alaska,7459,46558,484328740.1
Kenai Peninsula,Alaska,55400,42797,932680421.3
Sharp,Arkansas,17264,1541,260044170.1
Boulder,Colorado,294567,1923,510310482.6
Grand,Colorado,14843,4840,153289400.7
Jackson,Colorado,1394,4220,1653292892
Larimer,Colorado,299630,6840,1709443766
Summit,Colorado,27994,1613,666237.1
Adams,Colorado,441603,3090,4591684667
Alamosa,Colorado,15445,1870,2772373203
Conejos,Colorado,8256,3309,2165662494
Costilla,Colorado,3524,3193,2506913145
Custer,Colorado,4255,1917,351637993
Douglas,Colorado,285465,2158,242909501.6
Clear Creek,Colorado,9088,1025,0
El Paso,Colorado,622263,5529,5953243672
Pitkin,Colorado,17148,2528,78380.84
San Juan,Colorado,699,1006,0
Garfield,Colorado,56389,7686,113603487.6
Moffat,Colorado,13795,12333,2213539520
Routt,Colorado,23509,6135,368429127.6
Arapahoe,Colorado,572003,2074,2059293917
Broomfield,Colorado,55889,87,81151963.06
Jefferson,Colorado,534543,2002,74216003.68
Gunnison,Colorado,15324,8488,286121403.2
Fremont,Colorado,46824,3957,465145174.3
Houston,Georgia,139900,984,740848658
Jones,Georgia,28669,1021,333556824.2
Canyon,Idaho,188923,1575,1849813132
Wabash,Illinois,11947,589,744179540.5
Jo Daviess,Illinois,22678,1603,444805686.2
DeKalb,Illinois,105160,1640,2252472584
Ogle,Illinois,53497,1993,2143354575
Winnebago,Illinois,295266,1355,1116029650
Pike,Illinois,16430,2194,1744698502
Schuyler,Illinois,7544,1139,1089281030
Cass,Illinois,13642,1000,1081813752
Perry,Illinois,22350,1153,1531546102
White,Illinois,14665,1296,1612061349
Pope,Illinois,4470,980,331077301.7
Livingston,Illinois,38950,2721,3943098494
Grundy,Illinois,50063,1113,1467138819
McHenry,Illinois,308760,1591,1513689599
Kane,Illinois,515269,1362,1331067315
Kankakee,Illinois,113449,1765,2407621199
Jefferson,Indiana,32428,949,740295125.2
Ohio,Indiana,6128,227,59122623.48
Scott,Indiana,24181,498,565902795
Fountain,Indiana,17240,1028,1244512841
Madison,Indiana,131636,1171,1543794421
LaPorte,Indiana,111467,1564,1980938754
Posey,Indiana,25910,1079,1234176890
Sullivan,Indiana,21475,1175,1472266770
St. Joseph,Indiana,266931,1198,1052940406
Dearborn,Indiana,50047,800,368101457.2
Jackson,Iowa,19848,1687,364130747.4
Warren,Iowa,46225,1485,917522019.3
Polk,Iowa,430640,1534,1282047888
Sumner,Kansas,24132,3067,5477459209
Clay,Kansas,8535,1693,2185300554
Dickinson,Kansas,19754,2206,3152495424
Jessamine,Kentucky,48586,452,217275933.5
Lincoln,Kentucky,24742,873,266843422.5
Mercer,Kentucky,21331,657,377709306
Woodford,Kentucky,24939,497,293218726.6
Casey,Kentucky,15955,1153,164181583.6
McCreary,Kentucky,18306,1113,12063044.96
Wayne,Kentucky,20813,1244,129170889
Pulaski,Kentucky,63063,1746,322366867.7
Clinton,Kentucky,10272,529,85809811.42
Cumberland,Kentucky,6856,803,66232705.9
Green,Kentucky,11258,749,244378043.1
Grayson,Kentucky,25746,1323,328367409.7
Genesee,Michigan,425790,1687,1284755394
Lapeer,Michigan,88319,1714,1701167163
Allegan,Michigan,111408,2185,2022376979
Kent,Michigan,602622,2259,1281741344
Muskegon,Michigan,172188,1337,1075721785
Newaygo,Michigan,48460,2229,1748221553
Ottawa,Michigan,263801,1489,1220806027
Arenac,Michigan,15899,950,812962595.5
Van Buren,Michigan,76258,1616,1449582680
Benzie,Michigan,17525,897,483695455.7
Grand Traverse,Michigan,86986,1277,769694703.5
Leelanau,Michigan,21708,993,150341426.1
Manistee,Michigan,24733,1439,952175225.9
Mason,Michigan,28705,1323,1128476111
Berrien,Michigan,156813,1499,1221522540
Lenawee,Michigan,99892,1976,2179182972
Bay,Michigan,107771,1169,1217942042
Pine,Minnesota,29750,3726,4131622493
Mille Lacs,Minnesota,26097,1760,1790868573
Sherburne,Minnesota,88499,1166,1225503657
Redwood,Minnesota,16059,2284,3155871165
Renville,Minnesota,15730,2565,3541601791
Tate,Mississippi,28886,1063,1057416461
Monroe,Mississippi,36989,2020,1548361541
Greene,Missouri,275174,1773,892252968.6
Jasper,Missouri,117404,1652,1891418464
Taney,Missouri,51675,1689,12020283.82
St. Clair,Missouri,9805,1820,1210413257
Pondera,Montana,6153,4248,3973758864
Richardson,Nebraska,8363,1429,1081857219
Lincoln,Nevada,5345,27547,12984353279
Eureka,Nevada,1987,10796,8821316960
San Juan,New Mexico,130044,14340,13261592924
Hidalgo,New Mexico,4894,8960,11424531747
Lea,New Mexico,64727,11325,24365264815
Grant,New Mexico,29514,10313,4735251421
Los Alamos,New Mexico,17950,279,2279811.2
Socorro,New Mexico,17866,17255,13984605063
Guadalupe,New Mexico,4687,7825,11038171945
Mora,New Mexico,4881,5005,3702711731
Torrance,New Mexico,16383,8641,12416914315
Taos,New Mexico,32937,5722,3562334308
Santa Fe,New Mexico,144170,4944,3275850527
Bernalillo,New Mexico,662564,3024,2279186066
Orange,North Carolina,133801,1051,875897554
Ashe,North Carolina,27281,1114,0
Mercer,North Dakota,8424,2874,1724242721
Oliver,North Dakota,1846,1890,1054855486
Perry,Ohio,36058,1069,117714551.8
Texas,Oklahoma,20640,5286,8433604286
Greer,Oklahoma,6239,1661,2348216301
Harney,Oregon,7422,26530,15622136385
Lane,Oregon,351715,11986,996833680.3
Klamath,Oregon,66380,15903,7870460639
Josephine,Oregon,82713,4246,218830609.5
Linn,Oregon,116672,5966,2203131168
Marion,Oregon,315335,3089,1405711409
Columbia,Pennsylvania,67295,1274,54079601.32
Mifflin,Pennsylvania,46682,1068,69464681.36
Bedford,Pennsylvania,49762,2625,116322530.3
Wilkes,Georgia,10593,1226,782288395.8
Luzerne,Pennsylvania,320918,2360,94974736.48
Juniata,Pennsylvania,24636,1014,59630018.26
Elk,Pennsylvania,31946,2162,195055044.9
Philadelphia,Pennsylvania,1526006,369,9642674.04
Armstrong,Pennsylvania,68941,1721,10014303.88
Beaver,Pennsylvania,170539,1146,15598160.9
Clearfield,Pennsylvania,81642,2994,126379438.6
Perry,Pennsylvania,45969,1438,40549216.78
Bucks,Pennsylvania,625249,1608,458818028.5
Butler,Pennsylvania,183862,2050,173482512
Lincoln,South Dakota,44828,1504,2118845725
Yankton,South Dakota,22438,1374,1638293488
Jones,South Dakota,1006,2521,1221762015
Mellette,South Dakota,2048,3400,1982358148
Roberts,South Dakota,10149,2933,3458220270
Dewey,South Dakota,5301,6315,3585284763
Fentress,Tennessee,17959,1292,386325507.9
Cocke,Tennessee,35662,1148,54972676.9
Fayette,Tennessee,38413,1828,2036837214
Henderson,Tennessee,27769,1367,997810984.6
Clay,Tennessee,7861,675,61709889.62
Sumner,Tennessee,160645,1405,622006383.5
Hamblen,Tennessee,62544,455,62523034.44
Campbell,Tennessee,40716,1290,22341430.04
Washington,Tennessee,122979,846,95462909.72
Smith,Tennessee,19166,850,52992208.36
Claiborne,Tennessee,32213,1153,31116051.96
Roane,Tennessee,54181,1021,46730596.8
Monroe,Tennessee,44519,1690,189811077.4
Loudon,Tennessee,48556,639,55088511.02
McNairy,Tennessee,26075,1446,968717959.5
Anderson,Tennessee,75129,894,16683969.12
Sullivan,Tennessee,156823,1117,24564078.66
Clay,Texas,10752,2884,4127633804
Bexar,Texas,1714773,3260,2178876409
San Saba,Texas,6131,2949,2366969316
Grayson,Texas,120877,2547,2689702595
Zapata,Texas,14018,2706,4274537037
Wharton,Texas,41280,2832,4469961287
Williamson,Texas,422679,2929,3609984878
Austin,Texas,28417,1694,2001904585
Victoria,Texas,86793,2294,3456732833
Anderson,Texas,58458,2795,1400134034
Chesapeake,Virginia,222209,912,620336331.7
Warren,Virginia,37575,559,96880400.3
Madison,Virginia,13308,830,124463979.3
Cumberland,Virginia,10052,775,431662824.4
Middlesex,Virginia,10959,349,342176774.9
Richmond City,Virginia,204214,164,0
Orange,Virginia,33481,886,354081969.7
Gloucester,Virginia,36858,570,563685649.5
Southampton,Virginia,18570,1550,1986878114
Bristol,Virginia,17835,30,0
Dickenson,Virginia,15903,868,9085.18
Prince George,Virginia,35725,693,785499204.2
Poquoson,Virginia,12150,44,40876.12
Rappahannock,Virginia,7373,688,36294747.5
Franklin,Virginia,56159,1852,22349551.5
Oconto,Wisconsin,37660,2638,2351455766
Adams,Wisconsin,20875,1775,1917691186
Waukesha,Wisconsin,389891,1505,836660764.7
Jackson,Georgia,60485,889,168521518.6
Lumpkin,Georgia,29966,737,8213816.2
Madison,Georgia,28120,740,394206329.2
Walton,Georgia,83768,855,481885449
White,Georgia,27144,629,40170262.72
Elbert,Georgia,20166,968,467806492.6
Hart,Georgia,25213,668,377961698.8
Carroll,Georgia,110527,1305,354795075.4
Fulton,Illinois,37069,2290,2153098509
Brown,Illinois,6937,799,603966626.4
Hancock,Illinois,19104,2107,2486057285
Edwards,Illinois,6721,572,724181776.5
Williamson,Illinois,66357,1154,1006943464
Appling,Georgia,18236,1325,1565861223
Terrell,Georgia,9315,874,1097020793
Harris,Georgia,32024,1226,536432509.9
Clay,Georgia,3183,572,345063234.5
Early,Georgia,11008,1356,1691643596
Rock Island,Illinois,147546,1168,861625910.8
Bureau,Illinois,34978,2268,2894395827
La Salle,Illinois,113924,2971,3832458869
Lee,Illinois,36031,1886,2560448474
Warren,Indiana,8508,954,1205237339
Hamilton,Indiana,274569,1045,1243193884
Blount,Alabama,57322,1692,472875291.2
Cullman,Alabama,80406,1948,869694627.8
DeKalb,Alabama,71109,2015,1377977082
Marshall,Alabama,93019,1618,846346738.2
Baldwin,Alabama,182265,4287,3185309117
Mobile,Alabama,412992,3256,1606235210
Choctaw,Alabama,13859,2377,1372515966
Clarke,Alabama,25833,3242,1038830568
Marengo,Alabama,21027,2548,2246256793
Monroe,Alabama,23068,2675,1524236282
Jefferson,Alabama,658466,2912,182691319.6
Prince of Wales-Outer Ketchikan,Alaska,0,19475,76305401.22
Valdez-Cordova,Alaska,9636,97387,5760195138
Southeast Fairbanks,Alaska,7029,67817,4521867279
Sitka,Alaska,8881,7515,32039415.48
Yakutat,Alaska,662,12842,1113368893
Nome,Alaska,9492,59856,7526655997
Anchorage,Alaska,291826,4475,68802685.54
Kodiak Island,Alaska,13592,17376,65977386.46
Dillingham,Alaska,4847,48547,9934021193
Matanuska-Susitna,Alaska,88995,64550,4847440008
Aleutians West,Alaska,5561,11478,11759282.44
Wrangell-Petersburg,Alaska,0,15231,218000900.3
North Slope,Alaska,9430,233860,56551338127
Aleutians East,Alaska,3141,18190,1612551505
Skagway-Hoonah-Angoon,Alaska,0,20628,51882459.56
Yukon-Koyukuk,Alaska,5588,380909,38911804929
Lake and Peninsula,Alaska,1631,68524,10005171329
Greenlee,Arizona,8437,4769,541856526.3
Apache,Arizona,71518,28993,25200885713
Cochise,Arizona,131346,16053,17668568552
Pima,Arizona,980263,23861,25102003684
Pinal,Arizona,375770,13912,16093005223
Navajo,Arizona,107449,25895,24877672469
Yavapai,Arizona,211033,21069,8018244118
St. Francis,Arkansas,28258,1671,2019885315
Mississippi,Arkansas,46480,2383,3412948455
Perry,Arkansas,10445,1451,549023944.2
Yell,Arkansas,22185,2463,1321106723
Clark,Arkansas,22995,2284,1790026509
Hot Spring,Arkansas,32923,1612,851462477.3
Cleveland,Arkansas,8689,1548,1746594180
Grant,Arkansas,17853,1637,1700750055
Clay,Arkansas,16083,1650,2011869330
Craighead,Arkansas,96443,1847,2509896533
Crittenden,Arkansas,50902,1642,2194756540
Hempstead,Arkansas,22609,1921,2098028606
Lafayette,Arkansas,7645,1404,1995907910
Miller,Arkansas,43462,1663,1718118328
Nevada,Arkansas,8997,1604,1560991037
Ouachita,Arkansas,26120,1926,1255441396
Scott,Arkansas,11233,2327,622221167.4
Sebastian,Arkansas,125744,1411,793595938.6
Union,Georgia,21356,854,1811464.52
Franklin,Georgia,22084,693,154602722.8
Habersham,Georgia,43041,723,47333152.94
Stephens,Georgia,26175,479,7570047.22
Laurens,Georgia,48434,2120,2313781054
Twiggs,Georgia,9023,939,521674137.9
Montgomery,Georgia,9123,635,681193639
Pierce,Georgia,18758,890,1012270688
Ware,Georgia,36312,2349,1652537192
Wheeler,Georgia,7421,776,911775075.2
Toombs,Georgia,27223,958,1037732514
Decatur,Georgia,27842,1612,1848168525
Grady,Georgia,25011,1189,1201950453
Thomas,Georgia,44720,1427,1565149857
Brooks,Georgia,16243,1292,1482670591
Lowndes,Georgia,109233,1326,1379289545
Clinch,Georgia,6798,2136,1887848697
Bryan,Georgia,30233,1150,1125388772
Lancaster,South Carolina,76652,1435,771472125.7
Chatham,Georgia,265128,1199,373450541.1
Glynn,Georgia,79626,1088,690452221.9
Gordon,Georgia,55186,928,573117244.8
Liberty,Georgia,63453,1369,1137983108
Murray,Georgia,39628,901,484117362.2
Baker,Georgia,3451,902,1214994876
Pulaski,Georgia,12010,648,735741887.1
Calhoun,Georgia,6694,735,883040532.6
Hawaii,Hawaii,185079,10460,593902814.9
Maui,Hawaii,154834,3032,57820126.62
Kauai,Hawaii,67091,1648,127797045.3
Washington,Idaho,10198,3799,672351145.8
Hampton,South Carolina,21090,1457,1609213078
Teton,Idaho,10170,1165,630526272.9
Gooding,Idaho,15464,1915,1906759901
Boise,Idaho,7028,4955,23258036.96
Owyhee,Idaho,11526,19980,11649517566
Gem,Idaho,16719,1459,333315300.6
Latah,Idaho,37244,2808,123786769.3
Clearwater,Idaho,8761,6396,146195038.2
Kootenai,Idaho,138494,3422,721301440.1
Bonneville,Idaho,104234,4922,2076665225
Bonner,Idaho,40877,4996,743545432.5
Idaho,Idaho,16267,22024,385264251.3
Pulaski,Illinois,6161,531,506371392
Macoupin,Illinois,47765,2253,2907639079
Fayette,Illinois,22140,1875,2306064527
Montgomery,Illinois,30104,1830,2426880329
Randolph,Illinois,33476,1546,1477178914
St. Clair,Illinois,270056,1743,1539173793
Madison,Illinois,269282,1911,1756789939
Franklin,Illinois,39561,1124,1302436357
Clinton,Illinois,37762,1295,1555297530
Washington,Illinois,14716,1467,2022146577
Clay,Illinois,13815,1212,1686395118
Sangamon,Illinois,197465,2267,2720919409
Gallatin,Illinois,5589,860,991674573
Shelby,Illinois,22363,1984,2652796642
Tazewell,Illinois,135394,1696,1881765726
Woodford,Illinois,38664,1400,1656829890
Knox,Illinois,52919,1866,2048790700
Adams,Illinois,67103,2256,2117599979
McLean,Illinois,169572,3074,4128495536
Mason,Illinois,14666,1458,1922269052
Menard,Illinois,12705,817,1059006782
Henry,Illinois,50486,2149,2547372798
Mercer,Illinois,16434,1478,1643354200
Crawford,Illinois,19817,1162,1472332581
Will,Illinois,677560,2202,2171897929
Morgan,Indiana,68894,1062,864033358.2
Vermillion,Indiana,16212,673,753158181
Putnam,Indiana,37963,1250,1411282459
Tippecanoe,Indiana,172780,1303,1572085685
White,Indiana,24643,1322,1817554003
Wells,Indiana,27636,955,1337536455
Allen,Indiana,355329,1708,2045475609
Hendricks,Indiana,145448,1054,1364048792
Porter,Indiana,164343,1091,1151780072
Jennings,Indiana,28525,977,1038438463
Daviess,Indiana,31648,1135,1344458783
Dubois,Indiana,41889,1118,623109165.6
Monroe,Indiana,137974,1056,207306703.5
Harrison,Indiana,39364,1268,765971755.3
Clayton,Iowa,18129,2053,567110847.4
Sibley,Minnesota,15226,1543,2113831908
Reno,Kansas,64511,3292,5928676939
Marion,Kansas,12660,2466,3966185892
Geary,Kansas,34362,1032,636887994.5
